Continent,Country,State,Name of Museum,Location (City), Crow Material? ,Inputted to ArcGIS,Latitude,Longitude,Link to website,Contact ,Collections History,Digital Collections?,Object Count,Replied to contact?,Objects/Photos/Both,Notes ,
Africa,South Africa,,National Museum,Bloemfontein,,,,,http://www.nasmus.co.za,,,No,,No,,,
Australia,Australia,,Melbourne Museum,Melbourne,,,,,https://museumsvictoria.com.au/melbournemuseum/,,,No,,No,,,
Australia,Australia,,The Australian Museum,Sydney,,,,,https://australianmuseum.net.au,,,No,,Attempting to contact,,,
Europe,Austria,,Naturhistorisches Museum Wien,Vienna,,,48.208176,16.373819,https://www.nhm-wien.ac.at/en,margit.berner@nhm-wien.ac.at,,,,No,,,
Europe ,Czech Republic,,National museum,Prague,Maybe,,50.087811,14.42046,http://vademecum.nm.cz/nm/permalink?xid=7D088371E34911E49962001F1F0E0F2D,gabriela_jungova@nm.cz,Picture,Yes,,Yes,,"They are not quite sure whether it truly is Crow and if so, it is only a replica of a picture. If we want to use it, we need to file a permission form.",
Europe,Finland,,The National Museum of Finland,Helsinki,Yes,,60.169857,24.938379,https://www.kansallismuseo.fi/en/collections/yleisetnografinen-kokoelma,heli.lahdentausta@kansallismuseo.fi,She sent me pictures of their artifacts identified as possibly Crow,,,Yes,,Pictures are in googledrive,
Europe,France,,Musée Du Quai Branly,Paris,Yes,,48.86083,2.29762,http://www.quaibranly.fr/en/,,,Yes,,,,,
Europe,France,,Muséum national d'Histoire naturelle,Paris,,,48.86083,2.29762,https://www.mnhn.fr/en,contact.mdh@mnhn.fr,,,,No,,,
Europe,Germany,,Linden Museum,Stuttgart,Yes,,48.78257,9.17025,https://www.lindenmuseum.de/en/,,Collections fr Prince Maximilian of Wied & Duke Paul of Wurttemberg 18302-1850s,,,,,,
Europe,Germany,,Staatliche Museen zu Berlin: Preussischer Kulturbesitz,Berlin,Yes,,52.520008,13.404954,http://www.smb-digital.de/eMuseumPlus?service=RedirectService&sp=Scollection&sp=SfieldValue&sp=0&sp=0&sp=3&sp=Slightbox_3x4&sp=0&sp=Sdetail&sp=0&sp=F,,Headdress,Yes,,,Objects,"artifacts include headdress, pictures from sacchem, etc.",
Europe,Germany ,,Senckenberg Museum,Frankfurt,,,50.110924,8.682127,http://www.senckenberg.de/root/index.php?page_id=5256,Thorsten.Wenzel@senckenberg.de,,,,No,,,
Europe ,Germany ,,Karl May Museum,Radebeu-Dresden,Yes,,51.100186,13.676932,https://www.karl-may-museum.de/en,Robin Leipold robin.leipold@karl-may-museum.de,Artifacts,No,,Yes,Objects,"They say that they have a crow belt, dance jewlery, and some other unidentifiable artifact--but they are not quite sure",
Europe,Italy,,Museum of Anthropology - Florence,Florence,,,43.769562,11.255814,https://www.msn.unifi.it/vp-43-contacts.html,edumsn@unifi.it,,,,No,,,
Europe,Netherlands,,Tropenmuseum,Amsterdam,,,52.370216,4.895168,https://www.tropenmuseum.nl/en/themes/collection,collectie@wereldculturen.nl,,,,No,,,
Europe,Norway,,Museum of Cultural History,Oslo,Yes,,59.913868,10.752245,http://www.unimus.no/foto/#/search?q=crow,,photographies,yes,,,,They seem to only have photographs of crow objects,
Europe,Poland,,Museum Warsaw,Warsaw,,,52.229675,21.01223,https://muzeumwarszawy.pl/en/,Julia Borowska julia.borowska@muzeumwarszawy.pl,,,,No,,,
Europe,Russia,,The Kunstkamer,Saint Petersburg,Yes,,59.93428,30.335098,http://collection.kunstkamera.ru/cross-search?query=crow,,Pictures ,Yes,,,Photos,Pictures,
Europe,Spain,,Museo Nacional de Antropología,Madrid,Yes,,40.416775,-3.70379,http://ceres.mcu.es/pages/Main,,Clothing,Yes,,N/A,Objects,They have a crow dress,
